date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:25:37	1004/1004	---M-Z	404	error ('Not%20Found')	text/html	date:Mon,%2018%20Mar%202024%2011:23:23%20GMT	https://voixoff.ma/robots.txt		(from )
12:25:37	263557/263557	---MCZ	200	added ('OK')	text/html	date:Mon,%2018%20Mar%202024%2011:23:23%20GMT	https://voixoff.ma/	C:/Users/DELL/Desktop/controle/Voixoff.ma%20_%20Agence%20Voix%20off%20#1%20au%20Maroc_files/voixoN/voixoff.ma/index.html	(from )
12:25:39	221258/221258	---M-Z	200	added ('OK')	application/x-javascript	date:Mon,%2018%20Mar%202024%2011:23:24%20GMT	https://connect.facebook.net/en_US/fbevents.js	C:/Users/DELL/Desktop/controle/Voixoff.ma%20_%20Agence%20Voix%20off%20#1%20au%20Maroc_files/voixoN/connect.facebook.net/en_US/fbevents.js	(from https://voixoff.ma/)
12:25:39	1555/1555	---M--	400	error ('Bad%20Request')	text/html	date:Mon,%2018%20Mar%202024%2011:23:26%20GMT	https://www.googletagmanager.com/gtm.js?id=	C:/Users/DELL/Desktop/controle/Voixoff.ma%20_%20Agence%20Voix%20off%20#1%20au%20Maroc_files/voixoN/www.googletagmanager.com/gtm.15445.delayed	(from https://voixoff.ma/)
12:25:40	59344/59344	---M-Z	200	added ('OK')	text/css	etag:%226599bda5-317b%22	https://cdnjs.cloudflare.com/ajax/libs/font-awesome/5.15.3/css/all.min.css	C:/Users/DELL/Desktop/controle/Voixoff.ma%20_%20Agence%20Voix%20off%20#1%20au%20Maroc_files/voixoN/cdnjs.cloudflare.com/ajax/libs/font-awesome/5.15.3/css/all.min.css	(from https://voixoff.ma/)
12:25:41	16670/16670	---M--	200	added ('OK')	image/png	etag:%22411e-65a46029-47d7c6b727b6c72f;;;%22	https://voixoff.ma/public/storage/site/favicon/7FED5D689352E0E3F116.png	C:/Users/DELL/Desktop/controle/Voixoff.ma%20_%20Agence%20Voix%20off%20#1%20au%20Maroc_files/voixoN/voixoff.ma/public/storage/site/favicon/7FED5D689352E0E3F116.png	(from https://voixoff.ma/)
12:25:41	250562/250562	---M-Z	200	added ('OK')	text/css	etag:%223d2c2-65c6b98a-1bad4ed4ef6539cd;gz%22	https://voixoff.ma/public/css/app.css?id=67bc1acc539a3ea22494e4aa9f8f34b3	C:/Users/DELL/Desktop/controle/Voixoff.ma%20_%20Agence%20Voix%20off%20#1%20au%20Maroc_files/voixoN/voixoff.ma/public/css/appc8ec.css	(from https://voixoff.ma/)
12:25:41	174819/174819	---M-Z	200	added ('OK')	application/x-javascript	etag:%222aae3-652e57eb-1b40eb3346936d47;gz%22	https://voixoff.ma/public/vendor/livewire/livewire.js?id=90730a3b0e7144480175	C:/Users/DELL/Desktop/controle/Voixoff.ma%20_%20Agence%20Voix%20off%20#1%20au%20Maroc_files/voixoN/voixoff.ma/public/vendor/livewire/livewire4a5a.js	(from https://voixoff.ma/)
12:25:42	4908/4908	---M-Z	200	added ('OK')	text/css	etag:W/%22132c-v8AxwmpPZx0Tci+iwIno7Hb5FII%22	https://cdn.jsdelivr.net/gh/greghub/green-audio-player/dist/css/green-audio-player.min.css	C:/Users/DELL/Desktop/controle/Voixoff.ma%20_%20Agence%20Voix%20off%20#1%20au%20Maroc_files/voixoN/cdn.jsdelivr.net/gh/greghub/green-audio-player/dist/css/green-audio-player.min.css	(from https://voixoff.ma/)
12:25:42	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Mon,%2018%20Mar%202024%2011:23:29%20GMT	http://cdn.jsdelivr.net/npm/slick-carousel@1.8.1/slick/slick.css	C:/Users/DELL/Desktop/controle/Voixoff.ma%20_%20Agence%20Voix%20off%20#1%20au%20Maroc_files/voixoN/cdn.jsdelivr.net/npm/slick-carousel@1.8.1/slick/slick.7.delayed	(from https://voixoff.ma/)
12:25:43	1776/1776	---M-Z	200	added ('OK')	text/css	etag:W/%226f0-qUoFmzF4tK3sCeMoGs4oGaMAlaQ%22	https://cdn.jsdelivr.net/npm/slick-carousel@1.8.1/slick/slick.css	C:/Users/DELL/Desktop/controle/Voixoff.ma%20_%20Agence%20Voix%20off%20#1%20au%20Maroc_files/voixoN/cdn.jsdelivr.net/npm/slick-carousel@1.8.1/slick/slick.css	(from https://voixoff.ma/)
12:25:44	698902/698902	---MCZ	200	added ('OK')	text/javascript	etag:W/%22805a264c1bc1d91:0%22	https://downloads-global.3cx.com/downloads/livechatandtalk/v1/callus.js	C:/Users/DELL/Desktop/controle/Voixoff.ma%20_%20Agence%20Voix%20off%20#1%20au%20Maroc_files/voixoN/downloads-global.3cx.com/downloads/livechatandtalk/v1/callus.js	(from https://voixoff.ma/)
12:25:44	51154/51154	---M-Z	200	added ('OK')	text/html	date:Mon,%2018%20Mar%202024%2011:23:30%20GMT	https://voixoff.ma/cart	C:/Users/DELL/Desktop/controle/Voixoff.ma%20_%20Agence%20Voix%20off%20#1%20au%20Maroc_files/voixoN/voixoff.ma/cart.html	(from https://voixoff.ma/)
12:25:46	46122/46122	---M--	200	added ('OK')	image/png	etag:%22b42a-65988033-498a2ae6ef19e0a5;;;%22	https://voixoff.ma/public/storage/site/logo/C5FC8C873192B914D992.png	C:/Users/DELL/Desktop/controle/Voixoff.ma%20_%20Agence%20Voix%20off%20#1%20au%20Maroc_files/voixoN/voixoff.ma/public/storage/site/logo/C5FC8C873192B914D992.png	(from https://voixoff.ma/)
12:25:46	5704/5704	---M--	200	added ('OK')	image/jpeg	etag:%221648-652e57eb-767fdd6cbd2b3d94;;;%22	https://voixoff.ma/public/storage/default/default-placeholder.jpg	C:/Users/DELL/Desktop/controle/Voixoff.ma%20_%20Agence%20Voix%20off%20#1%20au%20Maroc_files/voixoN/voixoff.ma/public/storage/default/default-placeholder.jpg	(from https://voixoff.ma/)
12:25:51	141593/141593	---MCZ	200	added ('OK')	text/html	date:Mon,%2018%20Mar%202024%2011:23:33%20GMT	https://voixoff.ma/start_selling	C:/Users/DELL/Desktop/controle/Voixoff.ma%20_%20Agence%20Voix%20off%20#1%20au%20Maroc_files/voixoN/voixoff.ma/start_selling.html	(from https://voixoff.ma/)
12:25:52	28796/28796	---M-Z	200	added ('OK')	text/html	date:Mon,%2018%20Mar%202024%2011:23:39%20GMT	https://voixoff.ma/auth/login	C:/Users/DELL/Desktop/controle/Voixoff.ma%20_%20Agence%20Voix%20off%20#1%20au%20Maroc_files/voixoN/voixoff.ma/auth/login.html	(from https://voixoff.ma/)
12:25:53	34479/34479	---M-Z	200	added ('OK')	text/html	date:Mon,%2018%20Mar%202024%2011:23:39%20GMT	https://voixoff.ma/auth/register	C:/Users/DELL/Desktop/controle/Voixoff.ma%20_%20Agence%20Voix%20off%20#1%20au%20Maroc_files/voixoN/voixoff.ma/auth/register.html	(from https://voixoff.ma/)
12:25:54	1042507/1042507	---MCZ	200	added ('OK')	text/html	date:Mon,%2018%20Mar%202024%2011:23:40%20GMT	https://voixoff.ma/categories/MoroccanArabic	C:/Users/DELL/Desktop/controle/Voixoff.ma%20_%20Agence%20Voix%20off%20#1%20au%20Maroc_files/voixoN/voixoff.ma/categories/MoroccanArabic.html	(from https://voixoff.ma/)
12:25:57	1041555/1041555	---MCZ	200	added ('OK')	text/html	date:Mon,%2018%20Mar%202024%2011:23:42%20GMT	https://voixoff.ma/categories/french	C:/Users/DELL/Desktop/controle/Voixoff.ma%20_%20Agence%20Voix%20off%20#1%20au%20Maroc_files/voixoN/voixoff.ma/categories/french.html	(from https://voixoff.ma/)
